# Conway's Game of Life Glider Centre of Mass
Time,x_com,y_com
0.0,25.2,25.4
1.0,25.2,25.8
2.0,25.4,26.2
3.0,25.8,26.2
4.0,26.2,26.4
5.0,26.2,26.8
6.0,26.4,27.2
7.0,26.8,27.2
8.0,27.2,27.4
9.0,27.2,27.8
10.0,27.4,28.2
11.0,27.8,28.2
12.0,28.2,28.4
13.0,28.2,28.8
14.0,28.4,29.2
15.0,28.8,29.2
16.0,29.2,29.4
17.0,29.2,29.8
18.0,29.4,30.2
19.0,29.8,30.2
20.0,30.2,30.4
21.0,30.2,30.8
22.0,30.4,31.2
23.0,30.8,31.2
24.0,31.2,31.4
25.0,31.2,31.8
26.0,31.4,32.2
27.0,31.8,32.2
28.0,32.2,32.4
29.0,32.2,32.8
30.0,32.4,33.2
31.0,32.8,33.2
32.0,33.2,33.4
33.0,33.2,33.8
34.0,33.4,34.2
35.0,33.8,34.2
36.0,34.2,34.4
37.0,34.2,34.8
38.0,34.4,35.2
39.0,34.8,35.2
40.0,35.2,35.4
41.0,35.2,35.8
42.0,35.4,36.2
43.0,35.8,36.2
44.0,36.2,36.4
45.0,36.2,36.8
46.0,36.4,37.2
47.0,36.8,37.2
48.0,37.2,37.4
49.0,37.2,37.8
50.0,37.4,38.2
51.0,37.8,38.2
52.0,38.2,38.4
53.0,38.2,38.8
54.0,38.4,39.2
55.0,38.8,39.2
56.0,39.2,39.4
57.0,39.2,39.8
58.0,39.4,40.2
59.0,39.8,40.2
60.0,40.2,40.4
61.0,40.2,40.8
62.0,40.4,41.2
63.0,40.8,41.2
64.0,41.2,41.4
65.0,41.2,41.8
66.0,41.4,42.2
67.0,41.8,42.2
68.0,42.2,42.4
69.0,42.2,42.8
70.0,42.4,43.2
71.0,42.8,43.2
72.0,43.2,43.4
73.0,43.2,43.8
74.0,43.4,44.2
75.0,43.8,44.2
76.0,44.2,44.4
77.0,44.2,44.8
78.0,44.4,45.2
79.0,44.8,45.2
80.0,45.2,45.4
81.0,45.2,45.8
82.0,45.4,46.2
83.0,45.8,46.2
84.0,46.2,46.4
