# SIRS model immunity data p1 = p2 = p3 = 0.5
Immune_fraction,1,2,3,4,5,mean_I_fraction,sem_I_fraction
0.0,0.25541111111111114,0.25403600000000004,0.25359733333333334,0.2565737777777778,0.2552595555555556,0.25497555555555557,0.0005294780472022752
0.02,0.2434782222222222,0.24368577777777778,0.24240222222222224,0.24231422222222224,0.24143111111111112,0.2426623111111111,0.00041339209618131487
0.04,0.23721466666666666,0.23225733333333332,0.22914,0.23541955555555555,0.23493377777777777,0.2337930666666667,0.0014082531871124375
0.06,0.21407688888888887,0.21270933333333333,0.219536,0.2161271111111111,0.2228471111111111,0.21705928888888887,0.0018482256695090302
0.08,0.19727466666666665,0.2012048888888889,0.20420266666666667,0.21122133333333332,0.20127111111111112,0.20303493333333336,0.0023240218336876223
0.1,0.18804177777777778,0.18449955555555556,0.1895608888888889,0.19303111111111113,0.18533155555555555,0.1880929777777778,0.0015342861735094368
0.12,0.16506533333333334,0.174872,0.18840933333333332,0.17505466666666666,0.1696537777777778,0.17461102222222222,0.003913775467231251
0.14,0.164088,0.16276622222222223,0.15691066666666667,0.1573968888888889,0.14816044444444446,0.15786444444444445,0.0028111917880386246
0.16,0.14046444444444445,0.1318608888888889,0.12530977777777777,0.14949955555555555,0.1397022222222222,0.13736737777777774,0.0041105972546127195
0.18,0.11928933333333334,0.11721777777777777,0.10857066666666668,0.11117288888888888,0.12029555555555556,0.11530924444444446,0.002311544649080212
0.2,0.11232577777777779,0.08307777777777778,0.11192044444444443,0.1025911111111111,0.08819555555555555,0.09962213333333333,0.006023820415076001
0.22,0.08419466666666667,0.09024755555555555,0.060856888888888884,0.07307111111111111,0.06405466666666666,0.07448497777777777,0.00565354814301887
0.24,0.07311822222222222,0.021547999999999998,0.03871688888888889,0.05846888888888889,0.07789555555555555,0.05394951111111111,0.010590486314950815
0.26,0.017219555555555557,0.022205777777777776,0.0277,0.036567555555555555,0.05064266666666667,0.030867111111111113,0.00589437327006982
0.28,0.009838222222222222,0.002784,0.0004946666666666666,0.025233333333333333,0.021829333333333333,0.012035911111111111,0.004968455952914283
0.3,0.0011817777777777777,0.012301333333333334,0.011204,0.0005017777777777777,0.00032577777777777775,0.005102933333333334,0.002724034558980212
0.32,0.0001657777777777778,2.4e-05,0.0,0.0007168888888888889,9.555555555555555e-05,0.00020044444444444444,0.00013233082374707807
0.34,0.0,0.0007226666666666667,0.0,0.00010888888888888888,0.0004097777777777778,0.00024826666666666667,0.00014032819380049272
0.36,0.000204,1.3333333333333333e-05,1.3333333333333334e-06,0.0,0.0,4.373333333333333e-05,4.0145070266057156e-05
0.38,0.0,5.6000000000000006e-05,0.0,0.000568888888888889,7.555555555555555e-06,0.0001264888888888889,0.00011109240731464489
0.4,0.000236,0.0,0.0,0.0,0.0,4.7199999999999995e-05,4.7199999999999995e-05
0.42,0.00012177777777777778,0.0,1.3777777777777778e-05,0.0,0.00021955555555555555,7.102222222222222e-05,4.359100598138491e-05
0.44,0.0,0.0,0.0,0.000156,0.0,3.12e-05,3.12e-05
0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
