# SIRS model phase diagram data p2 = 0.5
p1,p3,mean_I,variance_I
0.0,0.0,0.0,0.0
0.0,0.05,0.0,0.0
0.0,0.1,0.0,0.0
0.0,0.15000000000000002,0.0,0.0
0.0,0.2,0.0,0.0
0.0,0.25,0.0,0.0
0.0,0.30000000000000004,0.0,0.0
0.0,0.35000000000000003,0.0,0.0
0.0,0.4,0.0,0.0
0.0,0.45,0.0,0.0
0.0,0.5,0.0,0.0
0.0,0.55,0.0,0.0
0.0,0.6000000000000001,0.0,0.0
0.0,0.65,0.0,0.0
0.0,0.7000000000000001,0.0,0.0
0.0,0.75,0.0,0.0
0.0,0.8,0.0,0.0
0.0,0.8500000000000001,0.0,0.0
0.0,0.9,0.0,0.0
0.0,0.9500000000000001,0.0,0.0
0.0,1.0,0.0,0.0
0.05,0.0,0.0,0.0
0.05,0.05,0.0,0.0
0.05,0.1,0.0,0.0
0.05,0.15000000000000002,0.0,0.0
0.05,0.2,0.0,0.0
0.05,0.25,0.0,0.0
0.05,0.30000000000000004,0.0,0.0
0.05,0.35000000000000003,0.0,0.0
0.05,0.4,0.0,0.0
0.05,0.45,0.0,0.0
0.05,0.5,0.0,0.0
0.05,0.55,0.0,0.0
0.05,0.6000000000000001,0.0,0.0
0.05,0.65,0.0,0.0
0.05,0.7000000000000001,0.0,0.0
0.05,0.75,0.0,0.0
0.05,0.8,0.0,0.0
0.05,0.8500000000000001,0.0,0.0
0.05,0.9,0.0,0.0
0.05,0.9500000000000001,0.0,0.0
0.05,1.0,0.0,0.0
0.1,0.0,0.0,0.0
0.1,0.05,0.0,0.0
0.1,0.1,0.0,0.0
0.1,0.15000000000000002,0.0,0.0
0.1,0.2,0.0,0.0
0.1,0.25,0.0,0.0
0.1,0.30000000000000004,0.0,0.0
0.1,0.35000000000000003,0.0,0.0
0.1,0.4,0.0,0.0
0.1,0.45,0.0,0.0
0.1,0.5,0.0,0.0
0.1,0.55,0.0,0.0
0.1,0.6000000000000001,0.0,0.0
0.1,0.65,0.0,0.0
0.1,0.7000000000000001,0.0,0.0
0.1,0.75,0.0,0.0
0.1,0.8,0.0,0.0
0.1,0.8500000000000001,0.0,0.0
0.1,0.9,0.0,0.0
0.1,0.9500000000000001,0.0,0.0
0.1,1.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0
0.15000000000000002,0.05,0.0,0.0
0.15000000000000002,0.1,0.0,0.0
0.15000000000000002,0.15000000000000002,0.0,0.0
0.15000000000000002,0.2,0.0,0.0
0.15000000000000002,0.25,0.0,0.0
0.15000000000000002,0.30000000000000004,0.0,0.0
0.15000000000000002,0.35000000000000003,0.0,0.0
0.15000000000000002,0.4,0.0,0.0
0.15000000000000002,0.45,0.0,0.0
0.15000000000000002,0.5,0.0,0.0
0.15000000000000002,0.55,0.0,0.0
0.15000000000000002,0.6000000000000001,0.0,0.0
0.15000000000000002,0.65,0.0,0.0
0.15000000000000002,0.7000000000000001,0.0,0.0
0.15000000000000002,0.75,0.0,0.0
0.15000000000000002,0.8,0.0,0.0
0.15000000000000002,0.8500000000000001,0.0,0.0
0.15000000000000002,0.9,0.0,0.0
0.15000000000000002,0.9500000000000001,0.0,0.0
0.15000000000000002,1.0,0.0,0.0
0.2,0.0,0.0,0.0
0.2,0.05,0.0,0.0
0.2,0.1,0.0,0.0
0.2,0.15000000000000002,0.0,0.0
0.2,0.2,0.0,0.0
0.2,0.25,0.0,0.0
0.2,0.30000000000000004,0.0,0.0
0.2,0.35000000000000003,0.0,0.0
0.2,0.4,0.0,0.0
0.2,0.45,0.0,0.0
0.2,0.5,0.0,0.0
0.2,0.55,0.0,0.0
0.2,0.6000000000000001,0.0,0.0
0.2,0.65,0.0,0.0
0.2,0.7000000000000001,0.0,0.0
0.2,0.75,0.0,0.0
0.2,0.8,0.0,0.0
0.2,0.8500000000000001,0.0,0.0
0.2,0.9,0.0,0.0
0.2,0.9500000000000001,0.0,0.0
0.2,1.0,0.0,0.0
0.25,0.0,0.0,0.0
0.25,0.05,0.0,0.0
0.25,0.1,0.0,0.0
0.25,0.15000000000000002,0.0,0.0
0.25,0.2,0.0,0.0
0.25,0.25,0.0,0.0
0.25,0.30000000000000004,0.0,0.0
0.25,0.35000000000000003,0.0,0.0
0.25,0.4,0.0,0.0
0.25,0.45,0.00020933333333333332,0.004419782222222223
0.25,0.5,0.0008053333333333332,0.01501592888888889
0.25,0.55,0.0,0.0
0.25,0.6000000000000001,0.00010533333333333332,0.0019540399999999998
0.25,0.65,0.0,0.0
0.25,0.7000000000000001,0.0,0.0
0.25,0.75,0.0009164444444444446,0.015555435061728394
0.25,0.8,0.00010266666666666666,0.0015340933333333334
0.25,0.8500000000000001,0.00028755555555555555,0.00527727950617284
0.25,0.9,0.0005626666666666667,0.019782737777777778
0.25,0.9500000000000001,8.977777777777778e-05,0.0008429609876543209
0.25,1.0,9.644444444444445e-05,0.0006607461728395062
0.30000000000000004,0.0,0.0,0.0
0.30000000000000004,0.05,0.0,0.0
0.30000000000000004,0.1,0.0,0.0
0.30000000000000004,0.15000000000000002,0.0,0.0
0.30000000000000004,0.2,0.0,0.0
0.30000000000000004,0.25,0.0004826666666666667,0.0042806933333333335
0.30000000000000004,0.30000000000000004,0.00018488888888888887,0.001614095802469136
0.30000000000000004,0.35000000000000003,9.11111111111111e-05,0.0012330246913580247
0.30000000000000004,0.4,0.0019102222222222224,0.06969273876543211
0.30000000000000004,0.45,0.004415555555555556,0.16953672839506173
0.30000000000000004,0.5,0.030691555555555555,0.5804061550617283
0.30000000000000004,0.55,0.03493466666666667,0.3404093288888886
0.30000000000000004,0.6000000000000001,0.06050088888888889,0.8328683313580245
0.30000000000000004,0.65,0.06517066666666667,0.8159605155555546
0.30000000000000004,0.7000000000000001,0.08171333333333333,1.123569222222222
0.30000000000000004,0.75,0.08676177777777777,0.6747776809876552
0.30000000000000004,0.8,0.11350444444444445,0.5178833950617234
0.30000000000000004,0.8500000000000001,0.11230844444444445,0.6319630439506145
0.30000000000000004,0.9,0.11655022222222221,0.5961898054321064
0.30000000000000004,0.9500000000000001,0.11400755555555557,1.015011857283942
0.30000000000000004,1.0,0.13044,0.5770439999999945
0.35000000000000003,0.0,0.0,0.0
0.35000000000000003,0.05,0.0,0.0
0.35000000000000003,0.1,0.0,0.0
0.35000000000000003,0.15000000000000002,6.355555555555555e-05,0.0006250128395061729
0.35000000000000003,0.2,0.0009106666666666667,0.024060493333333332
0.35000000000000003,0.25,0.0035244444444444446,0.1779563950617284
0.35000000000000003,0.30000000000000004,0.03449555555555556,0.6329331728395057
0.35000000000000003,0.35000000000000003,0.06477911111111112,0.7750037980246897
0.35000000000000003,0.4,0.10003377777777778,0.5675767032098782
0.35000000000000003,0.45,0.11137288888888888,0.588500829135807
0.35000000000000003,0.5,0.1376751111111111,0.5846485624691297
0.35000000000000003,0.55,0.14861155555555555,0.6246738883950514
0.35000000000000003,0.6000000000000001,0.15981022222222221,0.5060268498765421
0.35000000000000003,0.65,0.16736666666666666,0.7012767777777743
0.35000000000000003,0.7000000000000001,0.17551244444444444,0.6280577239506296
0.35000000000000003,0.75,0.18901644444444443,0.5377571017284063
0.35000000000000003,0.8,0.19918311111111112,0.5418223980246927
0.35000000000000003,0.8500000000000001,0.20159333333333335,0.4558901111111045
0.35000000000000003,0.9,0.21019555555555558,0.5200075061728247
0.35000000000000003,0.9500000000000001,0.21244533333333335,0.5864553066666471
0.35000000000000003,1.0,0.22267644444444445,0.586036501728394
0.4,0.0,0.0,0.0
0.4,0.05,0.0,0.0
0.4,0.1,4.133333333333333e-05,0.00031350666666666666
0.4,0.15000000000000002,0.0,0.0
0.4,0.2,0.04355688888888889,0.34203935358024756
0.4,0.25,0.07783733333333333,0.669783626666668
0.4,0.30000000000000004,0.10288266666666666,0.49122291555555425
0.4,0.35000000000000003,0.13390088888888887,0.47668522024691923
0.4,0.4,0.15478844444444445,0.5927801106172846
0.4,0.45,0.17747466666666667,0.407782951111102
0.4,0.5,0.19096355555555555,0.5396033461728367
0.4,0.55,0.20111377777777778,0.4278143032098888
0.4,0.6000000000000001,0.21354933333333334,0.5860078044444555
0.4,0.65,0.22757688888888888,0.4657186646913877
0.4,0.7000000000000001,0.23304933333333333,0.41774191555555445
0.4,0.75,0.24443333333333334,0.5635496666666586
0.4,0.8,0.25220044444444445,0.4160279995061923
0.4,0.8500000000000001,0.2574995555555556,0.5150921106172492
0.4,0.9,0.26527466666666666,0.3809958400000353
0.4,0.9500000000000001,0.2701608888888889,0.4284588424691465
0.4,1.0,0.2740368888888889,0.4773099313580431
0.45,0.0,0.0,0.0
0.45,0.05,0.0,0.0
0.45,0.1,0.0,0.0
0.45,0.15000000000000002,0.04366933333333333,0.3778306488888891
0.45,0.2,0.082588,0.4465600844444445
0.45,0.25,0.12143955555555555,0.5170863106172823
0.45,0.30000000000000004,0.14742044444444444,0.4808376217284007
0.45,0.35000000000000003,0.17472177777777778,0.4378575920987525
0.45,0.4,0.19262133333333334,0.49133441777777626
0.45,0.45,0.21095644444444442,0.3919521461728728
0.45,0.5,0.22827066666666665,0.4822937377778115
0.45,0.55,0.2397791111111111,0.4366091313580284
0.45,0.6000000000000001,0.2542808888888889,0.47451297580248214
0.45,0.65,0.2648137777777778,0.473964414320956
0.45,0.7000000000000001,0.2732613333333333,0.3853319288888946
0.45,0.75,0.2821128888888889,0.44110680691357707
0.45,0.8,0.2900137777777778,0.3991910809876397
0.45,0.8500000000000001,0.29813555555555554,0.3543473950617481
0.45,0.9,0.303136,0.4250013155555353
0.45,0.9500000000000001,0.30906266666666665,0.42153462666664276
0.45,1.0,0.314436,0.4248025377777405
0.5,0.0,0.0,0.0
0.5,0.05,0.0,0.0
0.5,0.1,0.02853333333333333,0.28699022222222265
0.5,0.15000000000000002,0.06945155555555556,0.5640133550617277
0.5,0.2,0.11101333333333334,0.45207022222221716
0.5,0.25,0.1426608888888889,0.37776717580246627
0.5,0.30000000000000004,0.17301866666666668,0.43822979555554925
0.5,0.35000000000000003,0.19883466666666666,0.48756499555556804
0.5,0.4,0.22096488888888888,0.4427262513580267
0.5,0.45,0.23983466666666667,0.4008712177777663
0.5,0.5,0.25461466666666666,0.44020079555558045
0.5,0.55,0.2684471111111111,0.4614353402469307
0.5,0.6000000000000001,0.2802693333333333,0.3508879822222516
0.5,0.65,0.29226844444444444,0.4590980661727954
0.5,0.7000000000000001,0.3029604444444445,0.40963031061724764
0.5,0.75,0.31118666666666667,0.4141408888889011
0.5,0.8,0.3181382222222222,0.39162379209883513
0.5,0.8500000000000001,0.32630444444444445,0.37967628395063807
0.5,0.9,0.3330093333333333,0.38370156000000427
0.5,0.9500000000000001,0.33768133333333333,0.3797856844444294
0.5,1.0,0.3455528888888889,0.413180229135789
0.55,0.0,0.0,0.0
0.55,0.05,0.0,0.0
0.55,0.1,0.0,0.0
0.55,0.15000000000000002,0.0871288888888889,0.5494380246913556
0.55,0.2,0.1265991111111111,0.5800751091357961
0.55,0.25,0.16239955555555555,0.5332564439506153
0.55,0.30000000000000004,0.1931057777777778,0.43715469432098325
0.55,0.35000000000000003,0.21833288888888888,0.5373127402469283
0.55,0.4,0.24012044444444447,0.43697662172839047
0.55,0.45,0.2601528888888889,0.44585000691355675
0.55,0.5,0.2770013333333333,0.37865910666666464
0.55,0.55,0.29037644444444444,0.3631706128395163
0.55,0.6000000000000001,0.30362577777777777,0.4084667832098436
0.55,0.65,0.3147284444444444,0.4565023106172681
0.55,0.7000000000000001,0.3269622222222222,0.3701088765432127
0.55,0.75,0.3338897777777778,0.38443540543210697
0.55,0.8,0.3434044444444444,0.4040937283950858
0.55,0.8500000000000001,0.3508208888888889,0.35545890913577755
0.55,0.9,0.356704,0.37520095999999903
0.55,0.9500000000000001,0.3624817777777778,0.34971039209878074
0.55,1.0,0.3689528888888889,0.36318422913579274
0.6000000000000001,0.0,0.0,0.0
0.6000000000000001,0.05,0.0,0.0
0.6000000000000001,0.1,0.05426888888888889,0.48210146913580393
0.6000000000000001,0.15000000000000002,0.0977631111111111,0.5877828202469159
0.6000000000000001,0.2,0.14179644444444445,0.4789666350617248
0.6000000000000001,0.25,0.178064,0.5177915377777769
0.6000000000000001,0.30000000000000004,0.20783333333333334,0.45380033333331815
0.6000000000000001,0.35000000000000003,0.23496444444444445,0.4197243950617034
0.6000000000000001,0.4,0.25742844444444446,0.45132464395060673
0.6000000000000001,0.45,0.2773617777777778,0.45590968098763845
0.6000000000000001,0.5,0.2933142222222222,0.37253582765432075
0.6000000000000001,0.55,0.30975777777777774,0.48108576543210074
0.6000000000000001,0.6000000000000001,0.32174844444444445,0.3722906883950811
0.6000000000000001,0.65,0.3343191111111111,0.4180334202468861
0.6000000000000001,0.7000000000000001,0.34339777777777775,0.3649008765432518
0.6000000000000001,0.75,0.3538733333333333,0.3623994444444776
0.6000000000000001,0.8,0.3628271111111111,0.32229194024689495
0.6000000000000001,0.8500000000000001,0.3691022222222222,0.3912649876543321
0.6000000000000001,0.9,0.37634622222222225,0.3488047698765062
0.6000000000000001,0.9500000000000001,0.3830942222222222,0.3777640276542865
0.6000000000000001,1.0,0.3894573333333333,0.3195104488889221
0.65,0.0,0.0,0.0
0.65,0.05,0.0,0.0
0.65,0.1,0.06337155555555556,0.7861015328395079
0.65,0.15000000000000002,0.10787866666666666,0.5434871955555572
0.65,0.2,0.1514711111111111,0.4776811358024599
0.65,0.25,0.19133155555555556,0.49568117728395156
0.65,0.30000000000000004,0.22039644444444442,0.43993330172840506
0.65,0.35000000000000003,0.2491208888888889,0.43743590913580266
0.65,0.4,0.27135333333333334,0.3893772222222295
0.65,0.45,0.29149777777777774,0.37807343209879474
0.65,0.5,0.30801511111111113,0.39471587358019317
0.65,0.55,0.32367466666666667,0.4387007288889494
0.65,0.6000000000000001,0.33672266666666667,0.3843032711111475
0.65,0.65,0.35046133333333335,0.3589994844444562
0.65,0.7000000000000001,0.36085466666666666,0.3704774177777581
0.65,0.75,0.3716986666666667,0.3438094400000293
0.65,0.8,0.37875155555555556,0.33564613283947115
0.65,0.8500000000000001,0.3873928888888889,0.3398109846913256
0.65,0.9,0.3929808888888889,0.3620128646913916
0.65,0.9500000000000001,0.4013524444444444,0.3474170128395315
0.65,1.0,0.40652044444444446,0.36093484395062553
0.7000000000000001,0.0,0.0,0.0
0.7000000000000001,0.05,0.0,0.0
0.7000000000000001,0.1,0.07025955555555555,0.6288769106172855
0.7000000000000001,0.15000000000000002,0.11716488888888889,0.5747840291358007
0.7000000000000001,0.2,0.16164355555555554,0.4644921461728402
0.7000000000000001,0.25,0.1992462222222222,0.4743119920987636
0.7000000000000001,0.30000000000000004,0.23021866666666665,0.470506240000017
0.7000000000000001,0.35000000000000003,0.2592973333333333,0.4015652044444578
0.7000000000000001,0.4,0.28400444444444445,0.3894355061728507
0.7000000000000001,0.45,0.30411066666666664,0.41579827111111956
0.7000000000000001,0.5,0.32134355555555555,0.37096581283947455
0.7000000000000001,0.55,0.33680577777777776,0.382324805432139
0.7000000000000001,0.6000000000000001,0.35053555555555554,0.3320407283950597
0.7000000000000001,0.65,0.36286222222222225,0.33985965432096277
0.7000000000000001,0.7000000000000001,0.37441955555555556,0.37832882172837856
0.7000000000000001,0.75,0.38426844444444447,0.3581798439505976
0.7000000000000001,0.8,0.39351644444444445,0.3743265461728443
0.7000000000000001,0.8500000000000001,0.4018386666666667,0.3393469288888388
0.7000000000000001,0.9,0.4091382222222222,0.38300779209882024
0.7000000000000001,0.9500000000000001,0.4150195555555556,0.35616304395049814
0.7000000000000001,1.0,0.42258977777777784,0.36713529432090003
0.75,0.0,0.0,0.0
0.75,0.05,0.0,0.0
0.75,0.1,0.07569111111111111,0.5580810246913549
0.75,0.15000000000000002,0.1238608888888889,0.5313360646913526
0.75,0.2,0.16915511111111112,0.5975749624691322
0.75,0.25,0.2077008888888889,0.4447892202469055
0.75,0.30000000000000004,0.23914666666666667,0.46258133333332374
0.75,0.35000000000000003,0.2677542222222222,0.42855076098763384
0.75,0.4,0.2927106666666667,0.3858533822222613
0.75,0.45,0.3139097777777778,0.3916067609875929
0.75,0.5,0.33275822222222223,0.34518496987652036
0.75,0.55,0.34889733333333334,0.35554831555555577
0.75,0.6000000000000001,0.36244977777777776,0.33431913876542824
0.75,0.65,0.37397955555555557,0.37225584395066835
0.75,0.7000000000000001,0.3870097777777778,0.33311664987648837
0.75,0.75,0.39743911111111113,0.3276561758025084
0.75,0.8,0.4062817777777778,0.31733928098767067
0.75,0.8500000000000001,0.41460088888888885,0.3293044424692169
0.75,0.9,0.42128622222222223,0.3387938587654382
0.75,0.9500000000000001,0.43017422222222224,0.3266112276542932
0.75,1.0,0.43503866666666663,0.31417270666677505
0.8,0.0,0.0,0.0
0.8,0.05,0.0,0.0
0.8,0.1,0.07839733333333333,0.5950204266666668
0.8,0.15000000000000002,0.13004844444444447,0.5884256883950555
0.8,0.2,0.17638177777777778,0.5290200587654253
0.8,0.25,0.21422711111111112,0.49268571802470834
0.8,0.30000000000000004,0.24884844444444443,0.3978585772839608
0.8,0.35000000000000003,0.2770195555555556,0.38837993283951655
0.8,0.4,0.30328133333333335,0.38544168444443494
0.8,0.45,0.3234306666666667,0.36495987111106515
